city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Salinópolis,Salinopolis,-0.6095,-47.34,Brazil,BR,BRA,Pará,,40998.0,1076811443
Frutal,Frutal,-20.03,-48.94,Brazil,BR,BRA,Minas Gerais,,40931.0,1076112857
Chapadinha,Chapadinha,-3.7395,-43.36,Brazil,BR,BRA,Maranhão,,40804.0,1076901443
Aquidauana,Aquidauana,-20.4696,-55.79,Brazil,BR,BRA,Mato Grosso do Sul,,40803.0,1076120417
Bom Jesus da Lapa,Bom Jesus da Lapa,-13.2495,-43.44,Brazil,BR,BRA,Bahia,,40691.0,1076439517
Alta Floresta,Alta Floresta,-9.9,-55.91,Brazil,BR,BRA,Mato Grosso,,40466.0,1076069666
Laguna,Laguna,-28.48,-48.78,Brazil,BR,BRA,Santa Catarina,,39711.0,1076025747
Russas,Russas,-4.94,-37.98,Brazil,BR,BRA,Ceará,,39465.0,1076843360
Palmas,Palmas,-26.48,-52.0,Brazil,BR,BRA,Paraná,,39150.0,1076528204
Mineiros,Mineiros,-17.5695,-52.56,Brazil,BR,BRA,Goiás,,38951.0,1076000916
Pinheiro,Pinheiro,-2.5196,-45.09,Brazil,BR,BRA,Maranhão,,38893.0,1076349995
Joaçaba,Joacaba,-27.17,-51.5,Brazil,BR,BRA,Santa Catarina,,38876.0,1076899882
Remanso,Remanso,-9.5996,-42.11,Brazil,BR,BRA,Bahia,,37945.0,1076051035
Nanuque,Nanuque,-17.84,-40.35,Brazil,BR,BRA,Minas Gerais,,37824.0,1076083471
Diamantina,Diamantina,-18.24,-43.61,Brazil,BR,BRA,Minas Gerais,,37343.0,1076865092
Rosário do Sul,Rosario do Sul,-30.25,-54.92,Brazil,BR,BRA,Rio Grande do Sul,,36721.0,1076900712
Cristalina,Cristalina,-16.77,-47.61,Brazil,BR,BRA,Goiás,,36531.0,1076014539
Guaíra,Guaira,-24.09,-54.27,Brazil,BR,BRA,Paraná,,36426.0,1076687981
São Francisco do Sul,Sao Francisco do Sul,-26.2396,-48.6,Brazil,BR,BRA,Santa Catarina,,36224.0,1076452788
Açu,Acu,-5.5796,-36.9101,Brazil,BR,BRA,Rio Grande do Norte,,36125.0,1076000524
Oriximiná,Oriximina,-1.7596,-55.87,Brazil,BR,BRA,Pará,,35581.0,1076567469
Barreiros,Barreiros,-8.8296,-35.2,Brazil,BR,BRA,Pernambuco,,35565.0,1076661261
Xique-Xique,Xique-Xique,-10.82,-42.73,Brazil,BR,BRA,Bahia,,35433.0,1076763009
Jacarèzinho,Jacarezinho,-23.1599,-49.98,Brazil,BR,BRA,Paraná,,35090.0,1076955757
Itapecuru Mirim,Itapecuru Mirim,-3.4,-44.36,Brazil,BR,BRA,Maranhão,,34943.0,1076422017
Januária,Januaria,-15.48,-44.37,Brazil,BR,BRA,Minas Gerais,,34811.0,1076924780
Osório,Osorio,-29.88,-50.27,Brazil,BR,BRA,Rio Grande do Sul,,34628.0,1076367566
Morrinhos,Morrinhos,-17.73,-49.11,Brazil,BR,BRA,Goiás,,34143.0,1076391164
